Rk,Player,Age,Pos,Tm,,Opp,,Date,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM
1,Leandro Barbosa\barbole01,32-200,G,GSW,@,CLE,W,2015-06-16 *,0,15,2,5,.400,1,2,.500,1,3,.333,0,0,,1,2,3,1,2,0,0,1,5,5.9,8.2
2,Harrison Barnes\barneha02,23-017,F,GSW,@,CLE,W,2015-06-16 *,1,35,3,8,.375,0,4,.000,3,4,.750,0,0,,0,2,2,2,1,0,0,3,9,6.4,0.5
3,Stephen Curry\curryst01,27-094,G,GSW,@,CLE,W,2015-06-16 *,1,43,8,19,.421,5,8,.625,3,11,.273,6,8,.750,0,6,6,8,3,0,3,3,25,20.3,5.5
4,Matthew Dellavedova\dellama01,24-281,G,CLE,,GSW,L,2015-06-16 *,1,25,0,3,.000,0,3,.000,0,0,,1,2,.500,1,3,4,2,0,0,2,6,1,-2.9,-12.2
5,Festus Ezeli\ezelife01,25-238,C,GSW,@,CLE,W,2015-06-16 *,0,11,3,6,.500,3,6,.500,0,0,,4,5,.800,3,1,4,0,0,1,1,2,10,7.9,2.4
6,Draymond Green\greendr01,25-104,F,GSW,@,CLE,W,2015-06-16 *,1,41,6,13,.462,4,8,.500,2,5,.400,2,4,.500,1,10,11,10,3,1,3,5,16,17.9,9.7
7,Joe Harris\harrijo01,23-283,G,CLE,,GSW,L,2015-06-16 *,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3.6
8,Andre Iguodala\iguodan01,31-139,G-F,GSW,@,CLE,W,2015-06-16 *,1,36,9,20,.450,6,12,.500,3,8,.375,4,10,.400,1,4,5,5,2,0,0,4,25,18.0,6.3
9,LeBron James\jamesle01,30-168,F-G,CLE,,GSW,L,2015-06-16 *,1,47,13,33,.394,11,23,.478,2,10,.200,4,8,.500,3,15,18,9,2,0,6,3,32,20.2,6.5
10,James Jones\jonesja02,34-255,F-G,CLE,,GSW,L,2015-06-16 *,0,27,1,5,.200,1,1,1.000,0,4,.000,3,3,1.000,0,1,1,0,0,0,1,3,5,0.0,-7.5
11,David Lee\leeda02,32-048,F,GSW,@,CLE,W,2015-06-16 *,0,1,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-37.6
12,Shaun Livingston\livinsh01,29-278,G,GSW,@,CLE,W,2015-06-16 *,0,32,4,6,.667,4,6,.667,0,0,,2,2,1.000,1,2,3,0,0,1,0,3,10,8.2,-1.1
13,Mike Miller\millemi01,35-117,F-G,CLE,,GSW,L,2015-06-16 *,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2.8
