Rk,Player,Age,Pos,Tm,,Opp,,Date,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM
1,Leandro Barbosa\barbole01,33-204,G,GSW,,CLE,L,2016-06-19 *,0,4,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,1.6,7.6
2,Harrison Barnes\barneha02,24-020,F,GSW,,CLE,L,2016-06-19 *,1,29,3,10,.300,1,6,.167,2,4,.500,2,2,1.000,0,2,2,1,1,0,0,4,10,4.9,-1.7
3,Stephen Curry\curryst01,28-097,G,GSW,,CLE,L,2016-06-19 *,1,39,6,19,.316,2,5,.400,4,14,.286,1,1,1.000,0,5,5,2,1,1,4,4,17,5.1,-4.7
4,Festus Ezeli\ezelife01,26-242,C,GSW,,CLE,L,2016-06-19 *,1,11,0,4,.000,0,4,.000,0,0,,0,0,,0,1,1,1,0,0,0,2,0,-2.6,-17.8
5,Draymond Green\greendr01,26-107,F,GSW,,CLE,L,2016-06-19 *,1,47,11,15,.733,5,7,.714,6,8,.750,4,4,1.000,1,14,15,9,2,0,2,3,32,35.9,24.0
6,Andre Iguodala\iguodan01,32-143,G-F,GSW,,CLE,L,2016-06-19 *,0,38,2,6,.333,2,3,.667,0,3,.000,0,2,.000,2,7,9,4,2,2,0,3,4,8.3,3.1
7,Kyrie Irving\irvinky01,24-088,G,CLE,@,GSW,W,2016-06-19 *,1,43,10,23,.435,8,18,.444,2,5,.400,4,4,1.000,3,3,6,1,1,1,2,3,26,16.1,4.5
8,LeBron James\jamesle01,31-172,F-G,CLE,@,GSW,W,2016-06-19 *,1,47,9,24,.375,8,19,.421,1,5,.200,8,10,.800,1,10,11,11,2,3,5,1,27,23.1,11.5
9,Richard Jefferson\jefferi01,35-364,F,CLE,@,GSW,W,2016-06-19 *,0,26,1,4,.250,1,4,.250,0,0,,0,0,,1,8,9,0,1,0,0,1,2,3.3,-2.4
10,Shaun Livingston\livinsh01,30-282,G,GSW,,CLE,L,2016-06-19 *,0,16,3,7,.429,3,7,.429,0,0,,2,2,1.000,1,0,1,2,0,0,1,1,8,5.0,-0.6
11,Kevin Love\loveke01,27-286,F,CLE,@,GSW,W,2016-06-19 *,1,30,3,9,.333,3,6,.500,0,3,.000,3,4,.750,4,10,14,3,2,0,1,2,9,11.6,5.4
12,Iman Shumpert\shumpim01,25-359,G,CLE,@,GSW,W,2016-06-19 *,0,19,1,3,.333,0,0,,1,3,.333,3,3,1.000,0,1,1,0,0,0,0,0,6,4.6,2.4
