Rk,Player,Age,Pos,Tm,,Opp,,Date,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM
165,Dāvis Bertāns\bertada01,24-191,F,SAS,,GSW,L,2017-05-22 *,0,3,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,0.8
166,Ian Clark\clarkia01,26-076,G,GSW,@,SAS,W,2017-05-22 *,0,18,5,10,.500,3,4,.750,2,6,.333,0,0,,1,1,2,2,2,0,1,0,12,10.4,7.8
167,Stephen Curry\curryst01,29-069,G,GSW,@,SAS,W,2017-05-22 *,1,34,14,24,.583,9,11,.818,5,13,.385,3,3,1.000,0,5,5,6,0,0,6,2,36,23.7,4.5
168,Dewayne Dedmon\dedmode01,27-283,C,SAS,,GSW,L,2017-05-22 *,0,3,0,0,,0,0,,0,0,,3,4,.750,0,1,1,1,0,0,0,0,3,3.6,27.7
169,Kevin Durant\duranke01,28-235,F-G,GSW,@,SAS,W,2017-05-22 *,1,38,10,13,.769,8,9,.889,2,4,.500,7,7,1.000,1,11,12,4,0,1,5,3,29,25.2,7.7
170,Bryn Forbes\forbebr01,23-303,G,SAS,,GSW,L,2017-05-22 *,0,24,2,8,.250,2,7,.286,0,1,.000,4,4,1.000,0,1,1,0,0,1,1,1,8,2.8,-11.8
171,Pau Gasol\gasolpa01,36-320,C-F,SAS,,GSW,L,2017-05-22 *,0,23,6,8,.750,6,8,.750,0,0,,2,3,.667,3,6,9,3,0,0,0,3,14,15.2,5.7
172,Manu Ginóbili\ginobma01,39-298,G,SAS,,GSW,L,2017-05-22 *,1,32,6,12,.500,5,8,.625,1,4,.250,2,2,1.000,1,0,1,7,3,0,1,4,15,15.0,2.6
173,Danny Green\greenda02,29-334,G-F,SAS,,GSW,L,2017-05-22 *,1,22,3,8,.375,1,2,.500,2,6,.333,1,1,1.000,1,3,4,3,1,1,0,1,9,9.6,3.8
174,Draymond Green\greendr01,27-079,F,GSW,@,SAS,W,2017-05-22 *,1,34,5,10,.500,3,5,.600,2,5,.400,4,6,.667,0,8,8,8,2,0,2,3,16,17.0,7.7
175,Andre Iguodala\iguodan01,33-114,G-F,GSW,@,SAS,W,2017-05-22 *,0,22,3,6,.500,3,4,.750,0,2,.000,1,3,.333,1,5,6,3,2,0,2,3,7,6.3,-1.0
176,Damian Jones\jonesda03,21-326,F-C,GSW,@,SAS,W,2017-05-22 *,0,2,1,1,1.000,1,1,1.000,0,0,,0,0,,0,2,2,0,1,0,0,0,2,3.3,45.8
177,Shaun Livingston\livinsh01,31-253,G,GSW,@,SAS,W,2017-05-22 *,0,15,2,2,1.000,2,2,1.000,0,0,,1,2,.500,0,1,1,2,0,0,0,5,5,3.7,-0.1
178,James Michael McAdoo\mcadoja01,24-138,F,GSW,@,SAS,W,2017-05-22 *,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2.5
